Boston, Massachusetts, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
193612,33.4,0.0
193712,29.7,-3.7
193812,32.4,-1.0
193912,31.9,-1.5
194012,32.7,-0.7
194112,33.6,0.2
194212,27.0,-6.4
194312,28.0,-5.4
194412,29.3,-4.1
194512,26.8,-6.6
194612,33.0,-0.4
194712,28.7,-4.7
194812,34.6,1.2
194912,35.1,1.7
195012,33.8,0.4
195112,33.3,-0.1
195212,33.9,0.5
195312,38.4,5.0
195412,32.6,-0.8
195512,24.9,-8.5
195612,34.2,0.8
195712,38.2,4.8
195812,24.6,-8.8
195912,34.5,1.1
196012,27.7,-5.7
196112,31.1,-2.3
196212,28.3,-5.1
196312,24.3,-9.1
196412,31.5,-1.9
196512,34.8,1.4
196612,32.9,-0.5
196712,33.7,0.3
196812,29.6,-3.8
196912,31.6,-1.8
197012,27.9,-5.5
197112,34.5,1.1
197212,31.2,-2.2
197312,37.8,4.4
197412,35.5,2.1
197512,32.1,-1.3
197612,26.7,-6.7
197712,32.0,-1.4
197812,33.9,0.5
197912,35.3,1.9
198012,27.2,-6.2
198112,31.8,-1.6
198212,38.1,4.7
198312,31.5,-1.9
198412,38.9,5.5
198512,30.6,-2.8
198612,34.9,1.5
198712,35.4,2.0
198812,32.1,-1.3
198912,21.0,-12.4
199012,39.8,6.4
199112,35.0,1.6
199212,33.9,0.5
199312,33.3,-0.1
199412,37.6,4.2
199512,30.8,-2.6
199612,39.3,5.9
199712,35.3,1.9
199812,39.2,5.8
199912,37.4,4.0
200012,29.3,-4.1
200112,40.6,7.2
200212,33.2,-0.2
200312,36.1,2.7
200412,35.1,1.7
200512,32.5,-0.9
200612,40.8,7.4
200712,32.2,-1.2
200812,35.5,2.1
200912,33.0,-0.4
201012,32.5,-0.9
201112,39.8,6.4
201212,38.4,5.0
201312,33.4,0.0
201412,38.3,4.9
201512,45.3,11.9
201612,35.3,1.9
201712,30.7,-2.7
201812,36.0,2.6
201912,34.9,1.5
202012,36.9,3.5
202112,39.3,5.9
