Boston, Massachusetts, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
193607,70.3,-2.7
193707,72.4,-0.6
193807,71.0,-2.0
193907,71.5,-1.5
194007,70.7,-2.3
194107,70.6,-2.4
194207,70.3,-2.7
194307,73.3,0.3
194407,73.0,0.0
194507,71.1,-1.9
194607,69.9,-3.1
194707,73.4,0.4
194807,73.5,0.5
194907,75.3,2.3
195007,72.5,-0.5
195107,73.0,0.0
195207,76.5,3.5
195307,72.2,-0.8
195407,71.1,-1.9
195507,76.2,3.2
195607,70.7,-2.3
195707,73.1,0.1
195807,71.4,-1.6
195907,73.7,0.7
196007,72.1,-0.9
196107,71.2,-1.8
196207,68.7,-4.3
196307,73.5,0.5
196407,71.9,-1.1
196507,71.4,-1.6
196607,73.6,0.6
196707,71.6,-1.4
196807,73.9,0.9
196907,69.7,-3.3
197007,73.5,0.5
197107,73.4,0.4
197207,72.0,-1.0
197307,72.5,-0.5
197407,70.6,-2.4
197507,73.6,0.6
197607,70.7,-2.3
197707,72.6,-0.4
197807,70.7,-2.3
197907,73.1,0.1
198007,74.4,1.4
198107,73.2,0.2
198207,73.4,0.4
198307,76.6,3.6
198407,74.0,1.0
198507,72.8,-0.2
198607,70.3,-2.7
198707,71.0,-2.0
198807,73.0,0.0
198907,72.1,-0.9
199007,72.5,-0.5
199107,73.6,0.6
199207,68.5,-4.5
199307,73.8,0.8
199407,76.5,3.5
199507,74.9,1.9
199607,71.9,-1.1
199707,73.7,0.7
199807,74.4,1.4
199907,75.8,2.8
200007,70.0,-3.0
200107,70.0,-3.0
200207,75.3,2.3
200307,74.4,1.4
200407,71.1,-1.9
200507,73.3,0.3
200607,75.8,2.8
200707,72.7,-0.3
200807,74.8,1.8
200907,70.3,-2.7
201007,77.0,4.0
201107,77.1,4.1
201207,75.3,2.3
201307,77.1,4.1
201407,74.1,1.1
201507,73.9,0.9
201607,76.1,3.1
201707,72.5,-0.5
201807,75.8,2.8
201907,76.7,3.7
202007,76.4,3.4
202107,72.0,-1.0
202207,77.5,4.5
