Boston, Massachusetts, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
193602,21.0,-9.0
193702,31.4,1.4
193802,28.8,-1.2
193902,30.6,0.6
194002,27.8,-2.2
194102,27.6,-2.4
194202,25.5,-4.5
194302,28.8,-1.2
194402,27.8,-2.2
194502,28.7,-1.3
194602,25.7,-4.3
194702,27.6,-2.4
194802,25.0,-5.0
194902,32.5,2.5
195002,26.0,-4.0
195102,32.8,2.8
195202,30.6,0.6
195302,33.1,3.1
195402,34.4,4.4
195502,30.1,0.1
195602,30.6,0.6
195702,32.7,2.7
195802,23.5,-6.5
195902,24.8,-5.2
196002,33.3,3.3
196102,29.6,-0.4
196202,24.8,-5.2
196302,25.2,-4.8
196402,28.1,-1.9
196502,28.4,-1.6
196602,30.0,0.0
196702,25.1,-4.9
196802,24.8,-5.2
196902,28.2,-1.8
197002,30.5,0.5
197102,29.8,-0.2
197202,27.9,-2.1
197302,28.3,-1.7
197402,27.4,-2.6
197502,29.8,-0.2
197602,35.0,5.0
197702,28.5,-1.5
197802,24.8,-5.2
197902,21.7,-8.3
198002,26.4,-3.6
198102,35.0,5.0
198202,29.4,-0.6
198302,31.4,1.4
198402,36.9,6.9
198502,32.1,2.1
198602,28.2,-1.8
198702,28.5,-1.5
198802,31.5,1.5
198902,29.9,-0.1
199002,33.5,3.5
199102,35.1,5.1
199202,31.5,1.5
199302,26.2,-3.8
199402,26.0,-4.0
199502,27.5,-2.5
199602,30.0,0.0
199702,36.1,6.1
199802,35.3,5.3
199902,33.7,3.7
200002,34.2,4.2
200102,31.8,1.8
200202,36.4,6.4
200302,26.4,-3.6
200402,33.1,3.1
200502,31.2,1.2
200602,31.0,1.0
200702,26.0,-4.0
200802,32.3,2.3
200902,32.7,2.7
201002,33.0,3.0
201102,30.3,0.3
201202,37.2,7.2
201302,31.1,1.1
201402,29.1,-0.9
201502,19.1,-10.9
201602,34.8,4.8
201702,36.7,6.7
201802,38.1,8.1
201902,32.1,2.1
202002,36.1,6.1
202102,31.6,1.6
202202,33.2,3.2
