Boston, Massachusetts, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
193610,53.0,-0.9
193710,51.2,-2.7
193810,54.5,0.6
193910,52.6,-1.3
194010,49.1,-4.8
194110,54.4,0.5
194210,54.3,0.4
194310,52.3,-1.6
194410,52.2,-1.7
194510,51.4,-2.5
194610,56.7,2.8
194710,59.9,6.0
194810,52.6,-1.3
194910,56.7,2.8
195010,54.7,0.8
195110,53.1,-0.8
195210,51.3,-2.6
195310,54.5,0.6
195410,57.0,3.1
195510,53.5,-0.4
195610,52.7,-1.2
195710,52.9,-1.0
195810,51.0,-2.9
195910,53.4,-0.5
196010,52.2,-1.7
196110,55.6,1.7
196210,51.9,-2.0
196310,58.1,4.2
196410,52.0,-1.9
196510,51.5,-2.4
196610,53.2,-0.7
196710,52.5,-1.4
196810,56.6,2.7
196910,53.0,-0.9
197010,54.4,0.5
197110,58.0,4.1
197210,50.0,-3.9
197310,53.8,-0.1
197410,47.8,-6.1
197510,55.0,1.1
197610,50.1,-3.8
197710,53.0,-0.9
197810,51.1,-2.8
197910,51.2,-2.7
198010,51.0,-2.9
198110,49.8,-4.1
198210,52.8,-1.1
198310,54.2,0.3
198410,52.6,-1.3
198510,54.7,0.8
198610,53.3,-0.6
198710,53.6,-0.3
198810,50.2,-3.7
198910,54.6,0.7
199010,57.4,3.5
199110,55.4,1.5
199210,51.5,-2.4
199310,51.4,-2.5
199410,54.6,0.7
199510,57.4,3.5
199610,53.3,-0.6
199710,52.9,-1.0
199810,54.5,0.6
199910,53.1,-0.8
200010,54.0,0.1
200110,56.3,2.4
200210,52.4,-1.5
200310,53.1,-0.8
200410,53.9,0.0
200510,54.8,0.9
200610,54.1,0.2
200710,59.0,5.1
200810,53.2,-0.7
200910,51.7,-2.2
201010,55.4,1.5
201110,57.3,3.4
201210,56.5,2.6
201310,56.7,2.8
201410,56.4,2.5
201510,54.0,0.1
201610,55.3,1.4
201710,61.4,7.5
201810,53.2,-0.7
201910,55.7,1.8
202010,56.2,2.3
202110,59.9,6.0
202210,56.6,2.7
