Boston, Massachusetts, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
193609,61.5,-2.6
193709,61.8,-2.3
193809,61.1,-3.0
193909,63.4,-0.7
194009,62.2,-1.9
194109,64.9,0.8
194209,63.4,-0.7
194309,61.8,-2.3
194409,63.9,-0.2
194509,65.8,1.7
194609,64.6,0.5
194709,63.4,-0.7
194809,64.4,0.3
194909,61.9,-2.2
195009,60.2,-3.9
195109,64.2,0.1
195209,65.0,0.9
195309,65.0,0.9
195409,61.9,-2.2
195509,63.1,-1.0
195609,59.8,-4.3
195709,66.0,1.9
195809,63.3,-0.8
195909,66.8,2.7
196009,62.4,-1.7
196109,67.6,3.5
196209,61.0,-3.1
196309,59.7,-4.4
196409,61.4,-2.7
196509,63.1,-1.0
196609,62.2,-1.9
196709,61.4,-2.7
196809,63.7,-0.4
196909,62.4,-1.7
197009,63.6,-0.5
197109,67.1,3.0
197209,63.9,-0.2
197309,62.6,-1.5
197409,61.9,-2.2
197509,61.6,-2.5
197609,62.6,-1.5
197709,62.2,-1.9
197809,60.0,-4.1
197909,63.5,-0.6
198009,65.6,1.5
198109,62.3,-1.8
198209,62.7,-1.4
198309,69.2,5.1
198409,61.4,-2.7
198509,64.7,0.6
198609,62.6,-1.5
198709,64.7,0.6
198809,63.9,-0.2
198909,64.0,-0.1
199009,63.9,-0.2
199109,62.7,-1.4
199209,63.0,-1.1
199309,63.9,-0.2
199409,63.3,-0.8
199509,62.2,-1.9
199609,64.2,0.1
199709,64.3,0.2
199809,66.4,2.3
199909,67.1,3.0
200009,63.6,-0.5
200109,65.4,1.3
200209,68.4,4.3
200309,65.8,1.7
200409,65.3,1.2
200509,67.9,3.8
200609,64.4,0.3
200709,67.5,3.4
200809,65.1,1.0
200909,63.0,-1.1
201009,68.4,4.3
201109,67.1,3.0
201209,64.7,0.6
201309,64.7,0.6
201409,66.2,2.1
201509,69.2,5.1
201609,67.5,3.4
201709,67.1,3.0
201809,67.6,3.5
201909,65.7,1.6
202009,65.5,1.4
202109,67.7,3.6
202209,65.2,1.1
