Los Angeles, California, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
194507,66.1,-1.4
194607,66.7,-0.8
194707,66.7,-0.8
194807,63.7,-3.8
194907,64.9,-2.6
195007,66.4,-1.1
195107,66.2,-1.3
195207,63.3,-4.2
195307,68.0,0.5
195407,68.8,1.3
195507,64.1,-3.4
195607,65.4,-2.1
195707,68.4,0.9
195807,66.1,-1.4
195907,70.8,3.3
196007,67.4,-0.1
196107,69.2,1.7
196207,64.1,-3.4
196307,66.8,-0.7
196407,64.8,-2.7
196507,63.8,-3.7
196607,65.7,-1.8
196707,67.5,0.0
196807,65.8,-1.7
196907,66.6,-0.9
197007,66.2,-1.3
197107,67.0,-0.5
197207,67.9,0.4
197307,65.5,-2.0
197407,68.1,0.6
197507,66.4,-1.1
197607,67.8,0.3
197707,66.4,-1.1
197807,65.5,-2.0
197907,66.2,-1.3
198007,66.5,-1.0
198107,69.4,1.9
198207,67.1,-0.4
198307,67.9,0.4
198407,69.5,2.0
198507,69.6,2.1
198607,66.7,-0.8
198707,64.5,-3.0
198807,67.4,-0.1
198907,67.6,0.1
199007,69.6,2.1
199107,65.3,-2.2
199207,69.7,2.2
199307,67.8,0.3
199407,66.0,-1.5
199507,66.5,-1.0
199607,67.7,0.2
199707,67.0,-0.5
199807,68.2,0.7
199907,67.1,-0.4
200007,67.5,0.0
200107,66.7,-0.8
200207,67.3,-0.2
200307,70.3,2.8
200407,68.2,0.7
200507,67.5,0.0
200607,73.7,6.2
200707,69.4,1.9
200807,69.3,1.8
200907,67.9,0.4
201007,65.2,-2.3
201107,67.8,0.3
201207,66.1,-1.4
201307,68.4,0.9
201407,71.3,3.8
201507,69.8,2.3
201607,71.1,3.6
201707,70.8,3.3
201807,73.6,6.1
201907,68.5,1.0
202007,67.7,0.2
202107,68.8,1.3
202207,69.6,2.1
