Los Angeles, California, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
194505,58.9,-2.2
194605,58.8,-2.3
194705,60.9,-0.2
194805,58.9,-2.2
194905,59.9,-1.2
195005,57.3,-3.8
195105,58.0,-3.1
195205,59.9,-1.2
195305,59.6,-1.5
195405,58.6,-2.5
195505,58.0,-3.1
195605,60.0,-1.1
195705,59.3,-1.8
195805,62.4,1.3
195905,60.2,-0.9
196005,61.9,0.8
196105,58.9,-2.2
196205,59.5,-1.6
196305,60.9,-0.2
196405,56.5,-4.6
196505,58.6,-2.5
196605,61.5,0.4
196705,60.2,-0.9
196805,59.9,-1.2
196905,60.6,-0.5
197005,60.8,-0.3
197105,58.9,-2.2
197205,61.6,0.5
197305,59.9,-1.2
197405,60.4,-0.7
197505,58.6,-2.5
197605,61.0,-0.1
197705,58.9,-2.2
197805,63.3,2.2
197905,61.4,0.3
198005,57.9,-3.2
198105,62.5,1.4
198205,60.3,-0.8
198305,60.8,-0.3
198405,64.3,3.2
198505,59.3,-1.8
198605,61.6,0.5
198705,62.5,1.4
198805,61.2,0.1
198905,60.7,-0.4
199005,60.9,-0.2
199105,58.6,-2.5
199205,64.3,3.2
199305,63.4,2.3
199405,60.2,-0.9
199505,58.6,-2.5
199605,64.1,3.0
199705,67.0,5.9
199805,59.6,-1.5
199905,59.6,-1.5
200005,63.1,2.0
200105,62.8,1.7
200205,60.7,-0.4
200305,60.0,-1.1
200405,65.5,4.4
200505,62.8,1.7
200605,63.3,2.2
200705,61.6,0.5
200805,63.6,2.5
200905,63.3,2.2
201005,60.4,-0.7
201105,61.9,0.8
201205,62.5,1.4
201305,66.0,4.9
201405,68.4,7.3
201505,60.5,-0.6
201605,62.3,1.2
201705,62.7,1.6
201805,62.0,0.9
201905,61.2,0.1
202005,66.1,5.0
202105,62.3,1.2
202205,63.7,2.6
