Los Angeles, California, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
194410,60.5,-4.2
194510,63.2,-1.5
194610,60.2,-4.5
194710,62.0,-2.7
194810,60.7,-4.0
194910,60.2,-4.5
195010,62.6,-2.1
195110,63.4,-1.3
195210,60.9,-3.8
195310,62.8,-1.9
195410,59.6,-5.1
195510,59.2,-5.5
195610,61.7,-3.0
195710,62.2,-2.5
195810,68.4,3.7
195910,64.3,-0.4
196010,62.4,-2.3
196110,63.7,-1.0
196210,62.7,-2.0
196310,65.9,1.2
196410,65.1,0.4
196510,67.5,2.8
196610,64.5,-0.2
196710,66.5,1.8
196810,62.8,-1.9
196910,63.6,-1.1
197010,63.5,-1.2
197110,62.5,-2.2
197210,63.9,-0.8
197310,63.2,-1.5
197410,63.4,-1.3
197510,62.9,-1.8
197610,67.0,2.3
197710,64.0,-0.7
197810,66.1,1.4
197910,63.8,-0.9
198010,64.0,-0.7
198110,63.0,-1.7
198210,67.0,2.3
198310,67.7,3.0
198410,63.8,-0.9
198510,65.3,0.6
198610,64.6,-0.1
198710,67.2,2.5
198810,64.3,-0.4
198910,64.1,-0.6
199010,67.8,3.1
199110,65.5,0.8
199210,65.2,0.5
199310,66.6,1.9
199410,65.1,0.4
199510,65.6,0.9
199610,62.1,-2.6
199710,66.4,1.7
199810,63.6,-1.1
199910,67.0,2.3
200010,62.5,-2.2
200110,64.1,-0.6
200210,61.6,-3.1
200310,66.3,1.6
200410,62.5,-2.2
200510,63.8,-0.9
200610,65.3,0.6
200710,65.7,1.0
200810,68.4,3.7
200910,64.5,-0.2
201010,65.0,0.3
201110,64.0,-0.7
201210,68.5,3.8
201310,65.2,0.5
201410,69.4,4.7
201510,73.5,8.8
201610,67.7,3.0
201710,70.6,5.9
201810,67.8,3.1
201910,69.2,4.5
202010,69.6,4.9
202110,65.7,1.0
202210,68.6,3.9
