Global Land Temperature Anomalies, August
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
1880,-0.24
1881,-0.11
1882,-0.05
1883,-0.36
1884,-0.63
1885,-0.58
1886,-0.34
1887,-0.52
1888,-0.43
1889,-0.20
1890,-0.36
1891,-0.41
1892,-0.33
1893,-0.36
1894,-0.38
1895,-0.38
1896,-0.16
1897,-0.10
1898,-0.18
1899,-0.22
1900,-0.02
1901,0.00
1902,-0.29
1903,-0.37
1904,-0.35
1905,-0.16
1906,-0.16
1907,-0.38
1908,-0.41
1909,-0.11
1910,-0.17
1911,-0.40
1912,-0.65
1913,-0.12
1914,-0.26
1915,-0.11
1916,-0.42
1917,-0.36
1918,-0.41
1919,-0.19
1920,-0.29
1921,-0.42
1922,-0.32
1923,-0.38
1924,-0.28
1925,-0.16
1926,-0.08
1927,-0.24
1928,-0.19
1929,-0.24
1930,0.00
1931,0.19
1932,-0.13
1933,-0.15
1934,-0.05
1935,-0.09
1936,0.00
1937,0.13
1938,0.08
1939,0.10
1940,0.02
1941,0.18
1942,-0.06
1943,-0.12
1944,0.15
1945,0.40
1946,-0.02
1947,-0.06
1948,0.03
1949,0.01
1950,-0.38
1951,0.09
1952,0.04
1953,0.15
1954,0.04
1955,0.13
1956,-0.40
1957,0.05
1958,-0.02
1959,0.04
1960,0.03
1961,0.00
1962,-0.05
1963,0.21
1964,-0.20
1965,-0.18
1966,0.09
1967,-0.12
1968,-0.18
1969,0.00
1970,-0.02
1971,-0.04
1972,0.05
1973,0.14
1974,-0.05
1975,-0.10
1976,-0.21
1977,0.09
1978,-0.23
1979,0.17
1980,0.24
1981,0.38
1982,0.12
1983,0.52
1984,0.14
1985,0.20
1986,0.18
1987,0.33
1988,0.46
1989,0.27
1990,0.43
1991,0.41
1992,-0.06
1993,0.21
1994,0.30
1995,0.81
1996,0.36
1997,0.60
1998,1.10
1999,0.55
2000,0.67
2001,0.90
2002,0.83
2003,0.88
2004,0.50
2005,0.81
2006,0.94
2007,0.90
2008,0.75
2009,0.92
2010,1.04
2011,1.04
2012,0.96
2013,0.86
2014,1.05
2015,1.20
2016,1.39
2017,1.26
2018,1.04
2019,1.12
2020,1.25
2021,1.34
2022,1.26
