Global Land Temperature Anomalies, December
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
1880,-0.59
1881,-0.27
1882,-0.73
1883,-0.47
1884,-0.57
1885,0.23
1886,0.09
1887,-0.18
1888,-0.20
1889,-0.29
1890,-0.52
1891,0.11
1892,-0.75
1893,-0.32
1894,-0.37
1895,-0.19
1896,-0.27
1897,-0.50
1898,0.19
1899,-0.66
1900,0.19
1901,-0.40
1902,-0.83
1903,-0.64
1904,-0.09
1905,0.08
1906,0.14
1907,-0.63
1908,-0.35
1909,-0.27
1910,-0.82
1911,-0.26
1912,-0.53
1913,0.43
1914,-0.22
1915,0.01
1916,-1.18
1917,-1.28
1918,-0.88
1919,-0.56
1920,-1.05
1921,-0.05
1922,-0.17
1923,0.08
1924,-0.43
1925,0.53
1926,-0.44
1927,-0.63
1928,0.02
1929,-1.29
1930,0.02
1931,0.13
1932,-0.29
1933,-0.69
1934,0.13
1935,-0.34
1936,0.23
1937,-0.26
1938,-0.27
1939,1.25
1940,0.43
1941,-0.07
1942,0.14
1943,0.57
1944,-0.29
1945,-0.52
1946,-0.68
1947,-0.13
1948,-0.19
1949,-0.35
1950,-0.15
1951,0.59
1952,-0.12
1953,0.27
1954,-0.23
1955,-0.44
1956,-0.40
1957,0.62
1958,0.25
1959,-0.02
1960,0.65
1961,-0.16
1962,0.34
1963,0.13
1964,-0.35
1965,0.05
1966,-0.47
1967,0.11
1968,-0.48
1969,0.47
1970,-0.23
1971,0.16
1972,0.15
1973,0.28
1974,-0.31
1975,0.07
1976,-0.15
1977,0.06
1978,0.04
1979,0.96
1980,0.39
1981,0.89
1982,0.72
1983,0.32
1984,-0.73
1985,0.21
1986,0.16
1987,0.91
1988,0.82
1989,0.73
1990,0.68
1991,0.30
1992,0.46
1993,0.52
1994,0.53
1995,0.51
1996,0.54
1997,0.74
1998,1.12
1999,1.19
2000,0.22
2001,0.76
2002,0.40
2003,1.46
2004,0.62
2005,1.14
2006,1.48
2007,0.99
2008,0.81
2009,0.58
2010,0.58
2011,0.99
2012,0.30
2013,1.09
2014,1.34
2015,1.97
2016,1.30
2017,1.56
2018,1.24
2019,1.75
2020,1.26
2021,1.36
