Global Land Temperature Anomalies, February
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
1880,-0.72
1881,-0.50
1882,-0.25
1883,-1.45
1884,-0.84
1885,-0.80
1886,-0.99
1887,-0.91
1888,-0.74
1889,-0.05
1890,-0.61
1891,-1.31
1892,-0.28
1893,-1.63
1894,-0.11
1895,-0.97
1896,-0.26
1897,-0.59
1898,-0.66
1899,-0.72
1900,-0.35
1901,-0.23
1902,0.42
1903,0.29
1904,-0.66
1905,-1.32
1906,-0.61
1907,-0.88
1908,-0.42
1909,-0.50
1910,-0.36
1911,-0.74
1912,-0.05
1913,-0.79
1914,0.05
1915,0.09
1916,-0.28
1917,-0.89
1918,-0.65
1919,-0.21
1920,-0.64
1921,-0.15
1922,-0.71
1923,-0.74
1924,-0.32
1925,-0.53
1926,0.39
1927,-0.29
1928,-0.15
1929,-1.20
1930,-0.23
1931,-0.62
1932,-0.36
1933,-0.71
1934,0.44
1935,0.92
1936,-0.79
1937,0.22
1938,0.13
1939,0.04
1940,0.10
1941,0.27
1942,-0.30
1943,0.29
1944,0.35
1945,-0.64
1946,0.31
1947,-0.15
1948,-0.02
1949,-0.40
1950,-0.46
1951,-0.99
1952,0.06
1953,0.38
1954,-0.21
1955,-0.05
1956,-0.62
1957,-0.36
1958,0.38
1959,0.05
1960,0.65
1961,0.40
1962,0.49
1963,0.90
1964,-0.20
1965,-0.38
1966,-0.04
1967,-0.39
1968,-0.07
1969,-0.88
1970,0.56
1971,-0.37
1972,-0.77
1973,0.81
1974,-0.65
1975,0.13
1976,-0.21
1977,0.31
1978,0.20
1979,-0.18
1980,0.43
1981,0.90
1982,0.17
1983,0.86
1984,-0.01
1985,-0.35
1986,0.53
1987,1.16
1988,0.36
1989,0.48
1990,0.60
1991,0.82
1992,0.82
1993,0.69
1994,-0.28
1995,1.59
1996,0.78
1997,0.73
1998,1.69
1999,1.69
2000,1.08
2001,0.52
2002,1.70
2003,0.94
2004,1.31
2005,0.74
2006,1.31
2007,1.14
2008,0.60
2009,1.03
2010,1.17
2011,0.58
2012,0.51
2013,1.20
2014,0.34
2015,1.68
2016,2.41
2017,1.78
2018,1.19
2019,1.16
2020,2.25
2021,0.89
2022,1.26
