Global Land Temperature Anomalies, July
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
1880,-0.29
1881,-0.32
1882,-0.50
1883,-0.35
1884,-0.73
1885,-0.50
1886,-0.20
1887,-0.32
1888,-0.18
1889,-0.19
1890,-0.12
1891,-0.34
1892,-0.32
1893,-0.14
1894,-0.39
1895,-0.29
1896,-0.14
1897,0.07
1898,-0.28
1899,-0.26
1900,-0.18
1901,0.07
1902,-0.23
1903,-0.39
1904,-0.51
1905,-0.21
1906,-0.15
1907,-0.46
1908,-0.18
1909,-0.38
1910,-0.02
1911,-0.40
1912,-0.53
1913,-0.18
1914,-0.22
1915,0.01
1916,-0.35
1917,-0.24
1918,-0.41
1919,-0.12
1920,-0.19
1921,-0.06
1922,-0.17
1923,-0.41
1924,-0.14
1925,-0.34
1926,-0.29
1927,-0.07
1928,-0.15
1929,-0.47
1930,0.02
1931,0.18
1932,-0.01
1933,-0.14
1934,-0.05
1935,-0.05
1936,0.22
1937,-0.03
1938,0.04
1939,0.05
1940,0.15
1941,0.24
1942,-0.09
1943,0.00
1944,0.15
1945,-0.11
1946,-0.02
1947,-0.07
1948,0.04
1949,-0.16
1950,-0.29
1951,0.02
1952,0.13
1953,0.06
1954,-0.13
1955,-0.20
1956,-0.22
1957,-0.17
1958,0.06
1959,0.10
1960,-0.09
1961,0.00
1962,-0.02
1963,0.17
1964,-0.15
1965,-0.16
1966,0.17
1967,-0.11
1968,-0.16
1969,0.11
1970,0.09
1971,-0.07
1972,-0.06
1973,0.23
1974,0.06
1975,0.09
1976,-0.23
1977,0.21
1978,-0.03
1979,0.09
1980,0.22
1981,0.21
1982,0.20
1983,0.34
1984,0.06
1985,-0.11
1986,0.06
1987,0.55
1988,0.53
1989,0.30
1990,0.28
1991,0.47
1992,-0.20
1993,0.29
1994,0.34
1995,0.53
1996,0.43
1997,0.48
1998,1.14
1999,0.67
2000,0.54
2001,0.82
2002,0.99
2003,0.75
2004,0.41
2005,0.95
2006,0.90
2007,0.83
2008,0.87
2009,0.74
2010,1.13
2011,1.03
2012,1.03
2013,0.81
2014,0.79
2015,1.05
2016,1.17
2017,1.21
2018,1.18
2019,1.18
2020,1.23
2021,1.39
2022,1.30
