Global Land Temperature Anomalies, November
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
1880,-0.92
1881,-0.98
1882,-0.57
1883,-0.85
1884,-0.89
1885,-0.26
1886,-0.70
1887,-0.25
1888,-0.38
1889,-0.84
1890,-0.84
1891,-0.87
1892,-1.07
1893,-0.10
1894,-0.63
1895,-0.32
1896,-0.93
1897,-0.39
1898,-0.49
1899,0.62
1900,-0.36
1901,-0.12
1902,-0.75
1903,-0.56
1904,0.38
1905,0.27
1906,-0.51
1907,-0.82
1908,-0.64
1909,0.25
1910,-0.61
1911,-0.19
1912,-0.51
1913,0.12
1914,-0.24
1915,0.16
1916,-0.56
1917,-0.15
1918,-0.33
1919,-0.67
1920,-0.47
1921,-0.35
1922,-0.04
1923,0.19
1924,0.05
1925,0.24
1926,0.06
1927,0.08
1928,0.20
1929,0.08
1930,0.37
1931,-0.01
1932,-0.25
1933,-0.12
1934,0.27
1935,-0.75
1936,0.16
1937,0.19
1938,0.39
1939,0.08
1940,0.00
1941,-0.14
1942,0.27
1943,0.11
1944,-0.09
1945,-0.01
1946,0.08
1947,0.16
1948,0.06
1949,0.06
1950,-0.83
1951,-0.03
1952,-0.73
1953,-0.23
1954,0.41
1955,-0.29
1956,-0.41
1957,0.18
1958,0.15
1959,-0.34
1960,-0.25
1961,0.05
1962,0.18
1963,0.46
1964,-0.16
1965,-0.25
1966,-0.17
1967,0.09
1968,-0.20
1969,0.40
1970,-0.02
1971,0.38
1972,-0.24
1973,0.01
1974,-0.23
1975,-0.18
1976,-0.44
1977,0.56
1978,0.32
1979,0.24
1980,0.63
1981,0.29
1982,-0.18
1983,0.99
1984,-0.22
1985,0.00
1986,-0.05
1987,0.09
1988,0.40
1989,0.17
1990,0.83
1991,0.37
1992,-0.14
1993,-0.31
1994,0.71
1995,0.75
1996,0.28
1997,0.58
1998,0.34
1999,0.62
2000,0.05
2001,1.33
2002,0.94
2003,0.69
2004,1.40
2005,1.45
2006,0.88
2007,1.10
2008,1.31
2009,1.00
2010,1.55
2011,0.69
2012,1.13
2013,1.48
2014,0.72
2015,1.37
2016,1.09
2017,1.16
2018,0.89
2019,1.29
2020,1.72
2021,1.48
