Global Land Temperature Anomalies, October
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
1880,-0.73
1881,-0.86
1882,-0.84
1883,-0.71
1884,-0.67
1885,-0.46
1886,-0.77
1887,-0.67
1888,-0.13
1889,-0.56
1890,-0.32
1891,-0.70
1892,-0.22
1893,-0.30
1894,-0.48
1895,-0.22
1896,-0.05
1897,-0.22
1898,-0.72
1899,-0.04
1900,0.27
1901,-0.46
1902,-0.55
1903,-0.66
1904,-0.52
1905,-0.26
1906,-0.23
1907,-0.24
1908,-0.53
1909,-0.17
1910,-0.47
1911,-0.29
1912,-0.93
1913,-0.35
1914,-0.07
1915,-0.47
1916,-0.40
1917,-0.70
1918,-0.02
1919,-0.25
1920,-0.42
1921,-0.19
1922,-0.33
1923,-0.05
1924,-0.26
1925,-0.31
1926,0.06
1927,0.35
1928,-0.03
1929,0.03
1930,-0.14
1931,0.42
1932,0.21
1933,-0.12
1934,0.03
1935,0.10
1936,0.11
1937,0.31
1938,0.34
1939,-0.18
1940,0.08
1941,0.32
1942,0.18
1943,0.41
1944,0.38
1945,0.22
1946,-0.04
1947,0.47
1948,0.13
1949,0.03
1950,-0.26
1951,0.18
1952,-0.23
1953,0.20
1954,0.11
1955,0.09
1956,-0.38
1957,-0.05
1958,-0.01
1959,-0.18
1960,0.02
1961,-0.22
1962,0.16
1963,0.60
1964,-0.50
1965,0.14
1966,-0.15
1967,0.52
1968,-0.12
1969,-0.05
1970,-0.22
1971,-0.03
1972,-0.07
1973,0.09
1974,-0.30
1975,-0.13
1976,-0.84
1977,-0.05
1978,0.07
1979,0.34
1980,0.25
1981,0.05
1982,-0.06
1983,0.26
1984,0.05
1985,0.05
1986,0.08
1987,0.19
1988,0.47
1989,0.37
1990,0.59
1991,0.41
1992,-0.11
1993,0.24
1994,0.65
1995,0.75
1996,0.13
1997,0.81
1998,0.72
1999,0.63
2000,0.21
2001,0.58
2002,0.53
2003,1.15
2004,0.80
2005,1.21
2006,1.07
2007,1.02
2008,1.22
2009,0.83
2010,1.09
2011,1.13
2012,1.04
2013,0.94
2014,1.00
2015,1.47
2016,0.88
2017,1.11
2018,1.32
2019,1.39
2020,1.19
2021,1.37
2022,1.42
