Global Ocean Temperature Anomalies, February-January
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
1881,-0.01
1882,0.02
1883,0.00
1884,-0.05
1885,-0.15
1886,-0.16
1887,-0.19
1888,-0.22
1889,-0.02
1890,-0.06
1891,-0.29
1892,-0.14
1893,-0.24
1894,-0.24
1895,-0.26
1896,-0.17
1897,0.02
1898,-0.05
1899,-0.23
1900,-0.12
1901,-0.04
1902,-0.18
1903,-0.25
1904,-0.39
1905,-0.45
1906,-0.23
1907,-0.24
1908,-0.30
1909,-0.43
1910,-0.45
1911,-0.43
1912,-0.41
1913,-0.29
1914,-0.31
1915,-0.17
1916,-0.10
1917,-0.30
1918,-0.26
1919,-0.20
1920,-0.23
1921,-0.17
1922,-0.17
1923,-0.25
1924,-0.22
1925,-0.26
1926,-0.16
1927,-0.11
1928,-0.16
1929,-0.21
1930,-0.26
1931,-0.09
1932,-0.09
1933,-0.17
1934,-0.23
1935,-0.12
1936,-0.15
1937,-0.11
1938,-0.01
1939,-0.11
1940,0.01
1941,0.21
1942,0.34
1943,0.12
1944,0.13
1945,0.33
1946,0.29
1947,-0.04
1948,-0.07
1949,-0.09
1950,-0.08
1951,-0.09
1952,0.04
1953,0.08
1954,0.10
1955,-0.09
1956,-0.13
1957,-0.09
1958,0.13
1959,0.11
1960,0.07
1961,0.07
1962,0.08
1963,0.09
1964,0.08
1965,-0.12
1966,-0.04
1967,0.00
1968,-0.02
1969,0.04
1970,0.17
1971,0.04
1972,-0.08
1973,0.13
1974,0.11
1975,-0.02
1976,-0.05
1977,0.03
1978,0.18
1979,0.12
1980,0.26
1981,0.25
1982,0.24
1983,0.23
1984,0.29
1985,0.20
1986,0.17
1987,0.22
1988,0.38
1989,0.29
1990,0.28
1991,0.37
1992,0.33
1993,0.23
1994,0.25
1995,0.31
1996,0.34
1997,0.31
1998,0.49
1999,0.51
2000,0.30
2001,0.35
2002,0.47
2003,0.49
2004,0.52
2005,0.49
2006,0.50
2007,0.51
2008,0.41
2009,0.42
2010,0.56
2011,0.54
2012,0.44
2013,0.52
2014,0.54
2015,0.64
2016,0.77
2017,0.78
2018,0.71
2019,0.69
2020,0.78
2021,0.74
2022,0.66
