Global Ocean Temperature Anomalies, September
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
1880,0.01
1881,-0.07
1882,-0.03
1883,-0.07
1884,-0.14
1885,-0.19
1886,-0.23
1887,-0.22
1888,-0.03
1889,-0.18
1890,-0.40
1891,-0.12
1892,-0.20
1893,-0.24
1894,-0.21
1895,-0.15
1896,0.05
1897,-0.08
1898,-0.21
1899,-0.06
1900,-0.05
1901,-0.27
1902,-0.29
1903,-0.47
1904,-0.47
1905,-0.24
1906,-0.30
1907,-0.35
1908,-0.47
1909,-0.40
1910,-0.39
1911,-0.40
1912,-0.44
1913,-0.36
1914,-0.22
1915,-0.13
1916,-0.30
1917,-0.03
1918,-0.20
1919,-0.26
1920,-0.13
1921,-0.10
1922,-0.31
1923,-0.30
1924,-0.34
1925,-0.15
1926,-0.12
1927,-0.16
1928,-0.20
1929,-0.21
1930,-0.02
1931,-0.07
1932,-0.18
1933,-0.24
1934,-0.02
1935,-0.16
1936,-0.07
1937,0.09
1938,-0.10
1939,0.04
1940,0.18
1941,0.28
1942,0.02
1943,0.15
1944,0.35
1945,0.33
1946,-0.01
1947,-0.17
1948,-0.16
1949,-0.09
1950,-0.07
1951,0.12
1952,0.09
1953,0.07
1954,-0.10
1955,-0.11
1956,-0.13
1957,0.14
1958,0.13
1959,0.11
1960,0.13
1961,0.05
1962,0.13
1963,0.12
1964,-0.15
1965,0.02
1966,0.00
1967,0.00
1968,0.09
1969,0.15
1970,0.05
1971,-0.09
1972,0.12
1973,0.12
1974,0.05
1975,-0.03
1976,-0.01
1977,0.20
1978,0.12
1979,0.28
1980,0.20
1981,0.20
1982,0.25
1983,0.28
1984,0.28
1985,0.21
1986,0.23
1987,0.44
1988,0.28
1989,0.32
1990,0.34
1991,0.31
1992,0.16
1993,0.24
1994,0.27
1995,0.31
1996,0.30
1997,0.55
1998,0.41
1999,0.28
2000,0.39
2001,0.48
2002,0.49
2003,0.56
2004,0.51
2005,0.52
2006,0.56
2007,0.42
2008,0.50
2009,0.57
2010,0.52
2011,0.45
2012,0.60
2013,0.58
2014,0.72
2015,0.83
2016,0.78
2017,0.71
2018,0.73
2019,0.78
2020,0.74
2021,0.71
2022,0.74
